Date,Price,ProductName,Country,Continent,Currency,Store,Category,Product URL,Price over time
2023-03-07,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-07', 'Price': 20.99}"
2023-03-08,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-08', 'Price': 20.99}"
2023-03-09,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-09', 'Price': 20.99}"
2023-03-10,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-10', 'Price': 20.99}"
2023-03-11,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-11', 'Price': 20.99}"
2023-03-12,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-12', 'Price': 20.99}"
2023-03-13,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-13', 'Price': 20.99}"
2023-03-14,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-14', 'Price': 20.99}"
2023-03-15,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-15', 'Price': 20.99}"
2023-03-16,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-16', 'Price': 20.99}"
2023-03-17,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-17', 'Price': 20.99}"
2023-03-18,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-18', 'Price': 20.99}"
2023-03-19,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-19', 'Price': 20.99}"
2023-03-20,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-20', 'Price': 20.99}"
2023-03-21,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-21', 'Price': 20.99}"
2023-03-22,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-22', 'Price': 20.99}"
2023-03-23,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-23', 'Price': 20.99}"
2023-03-24,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-24', 'Price': 20.99}"
2023-03-25,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-25', 'Price': 20.99}"
2023-03-26,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-26', 'Price': 20.99}"
2023-03-27,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-27', 'Price': 20.99}"
2023-03-28,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-28', 'Price': 20.99}"
2023-03-29,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-29', 'Price': 20.99}"
2023-03-30,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-30', 'Price': 20.99}"
2023-03-31,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-03-31', 'Price': 20.99}"
2023-04-01,20.99,Hummerstons Chicken Thigh,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-13,"{'Date': '2023-04-01', 'Price': 20.99}"
2023-03-01,22.99,Hummerstons Beef Rissole Lean,Australia,Australia,AUD,Friendlygrocerwaverton,Food and Groceries,https://friendlygrocerwaverton.com/lines/hummers-meat-14,"{'Date': '2023-03-01', 'Price': 22.99}"
