Date,Price,ProductName,Country,Continent,Currency,Store,Category,Product URL,Price over time
2023-03-23,69.99,SPAR IQF CHICKEN THIGHS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763632,"{'Date': '2023-03-23', 'Price': 69.99}"
2023-03-24,69.99,SPAR IQF CHICKEN THIGHS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763632,"{'Date': '2023-03-24', 'Price': 69.99}"
2023-03-25,69.99,SPAR IQF CHICKEN THIGHS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763632,"{'Date': '2023-03-25', 'Price': 69.99}"
2023-03-26,69.99,SPAR IQF CHICKEN THIGHS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763632,"{'Date': '2023-03-26', 'Price': 69.99}"
2023-03-27,69.99,SPAR IQF CHICKEN THIGHS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763632,"{'Date': '2023-03-27', 'Price': 69.99}"
2023-03-28,69.99,SPAR IQF CHICKEN THIGHS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763632,"{'Date': '2023-03-28', 'Price': 69.99}"
2023-03-29,69.99,SPAR IQF CHICKEN THIGHS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763632,"{'Date': '2023-03-29', 'Price': 69.99}"
2023-03-30,69.99,SPAR IQF CHICKEN THIGHS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763632,"{'Date': '2023-03-30', 'Price': 69.99}"
2023-03-31,69.99,SPAR IQF CHICKEN THIGHS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763632,"{'Date': '2023-03-31', 'Price': 69.99}"
2023-04-01,69.99,SPAR IQF CHICKEN THIGHS 1.5KG,South Africa,Africa,ZAR,Spar,Food and Groceries,https://crossingnelspruit.spar.co.za/products/6001008763632,"{'Date': '2023-04-01', 'Price': 69.99}"
